Query_ID,Document_ID,Relevance_Score
126,en.13.1.53.2009.5.31,1
126,en.13.10.164.2009.7.29,1
126,en.13.10.19.2009.7.30,2
126,en.13.25.179.2009.11.8,1
126,en.13.25.215.2009.11.8,1
126,en.13.27.301.2009.11.20,2
126,en.13.27.84.2009.11.19,1
126,en.13.3.188.2009.6.11,1
126,en.13.3.20.2009.6.11,1
126,en.13.3.434.2009.6.12,1
126,en.13.3.65.2009.6.12,2
126,en.13.31.259.2010.1.3,1
126,en.13.45.6.2010.3.25,2
126,en.13.8.101.2009.7.14,1
126,en.13.8.152.2009.7.16,1
126,en.13.8.223.2009.7.15,1
126,en.13.8.351.2009.7.10,1
126,en.13.8.362.2009.7.16,1
126,en.13.8.423.2009.7.14,1
126,en.15.121.10.2009.5.1,1
126,en.15.121.108.2009.4.28,1
126,en.15.121.112.2009.4.25,1
126,en.15.121.15.2009.4.28,1
126,en.15.121.154.2009.4.27,1
126,en.15.121.162.2009.4.28,1
126,en.15.121.168.2009.4.27,1
126,en.15.121.185.2009.4.27,1
126,en.15.121.215.2009.4.26,1
126,en.15.121.232.2009.4.26,1
126,en.15.121.248.2009.4.26,1
126,en.15.121.269.2009.4.27,1
126,en.15.121.37.2009.4.28,1
126,en.15.121.85.2009.4.28,1
126,en.15.123.131.2009.5.10,1
126,en.15.123.14.2009.5.8,1
126,en.15.123.179.2009.5.8,1
126,en.15.123.246.2009.5.7,1
126,en.15.123.256.2009.5.6,1
126,en.15.123.27.2009.5.10,1
126,en.15.123.88.2009.5.9,1
126,en.15.124.139.2009.5.17,1
126,en.15.124.268.2009.5.15,1
126,en.15.125.170.2009.5.21,1
126,en.15.125.272.2009.5.19,1
126,en.15.125.499.2009.5.19,1
126,en.15.125.65.2009.5.18,1
126,en.15.128.399.2009.6.5,1
126,en.15.136.244.2009.7.26,1
126,en.15.136.355.2009.7.24,1
126,en.15.136.499.2009.7.24,1
126,en.15.147.222.2009.10.4,1
126,en.15.147.224.2009.10.5,1
126,en.15.147.229.2009.10.6,1
126,en.15.147.306.2009.10.7,1
126,en.15.147.327.2009.10.2,1
126,en.15.148.481.2009.10.7,1
126,en.15.151.254.2009.11.4,1
126,en.15.151.464.2009.11.4,1
126,en.15.151.62.2009.11.4,1
126,en.15.151.83.2009.10.31,1
